pmid,label,access,data_location,accession_or_link,repository_family,evidence_quote,rationale
40540408,false_negative,open,Open Science Framework (OSF),https://osf.io/uvykp/ (DOI 10.17605/OSF.IO/UVYKP),OSF,The data and code necessary to replicate our results are available online (https://github.com/ShineLabUSYD/AmbiguousFigures... and https://osf.io/uvykp/). The following dataset was generated: Danckert J 2025 fMRI data from Stottinger papers Open Science Framework 10.17605/OSF.IO/UVYKP,"The authors deposited their newly generated fMRI data in the OSF repository with a DOI/persistent URL (10.17605/OSF.IO/UVYKP), presented as openly accessible, satisfying all three criteria for open data."
38531413,false_negative,open,Zenodo; Morphosource,https://zenodo.org/doi/10.5281/zenodo.10525500; https://www.morphosource.org/projects/000535920?locale=en,Zenodo,All data collected and analysed are on Github available from the Zenodo Repository: https://zenodo.org/doi/10.5281/zenodo.10525500 [71]. Scans for all crania are available on Morphosource: https://www.morphosource.org/projects/000535920?locale=en [72].,"The authors deposited their newly generated morphometric landmark data and 3D cranial scans in Zenodo and Morphosource with resolvable DOI/URL and no access restriction stated, meeting all three open-data criteria, so the detector's negative call is a false negative."
38960860,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.8288999,Zenodo,Animations of the algorithm are deposited at https://doi.org/10.5281/zenodo.8288999 .,"The authors deposited author-generated material (algorithm animations) in Zenodo with a resolvable DOI and present it as openly accessible, satisfying all three open-data criteria even though the primary pangenome graph inputs used are reused third-party data."
40114700,false_negative,open,Mendeley Data,https://doi.org/10.17632/855yzf274j.1,Mendeley,The data collected for this study is stored in the Mendeley Data repository19.,"The authors deposited their newly collected survey/clinical data (from the 70 MS patients) in the Mendeley Data repository with a resolvable DOI (10.17632/855yzf274j.1) and no stated access restriction, meeting all criteria for open data that the detector missed."
38609405,false_negative,open,Synapse,Synapse (ref. 31),Other,"All datasets and annotations including the 1000 raw videos, phase recognition set, semantic segmentation set, and irregularity detection set are publicly released in Synapse31.","This Data Descriptor article reports newly generated cataract surgery video data and annotations deposited and publicly released in the Synapse repository (with a citation/reference for the deposit and CC BY licensing), satisfying deposit, identifiable reference, and open access criteria, so the detector's non-open-data call is a miss."
39344597,false_negative,open,Zenodo,10.5281/zenodo.10729400,Zenodo,"The committee of MACE models trained on the full training set is available in a zenodo repository 10.5281/zenodo.10729400. The full train and test sets are also available as a python pandas dataframe. The experimentally determined newly synthesized structure, as well as the five predicted lowest energy structures found by our process, are also available.","The Data Availability Statement deposits newly generated data (trained MLIP models, full train/test DFT datasets, and the newly determined crystal structure) in a Zenodo repository with a resolvable DOI (10.5281/zenodo.10729400) with no stated access restriction, meeting all three open-data criteria the detector missed."
40378216,false_negative,open,GEO; Dryad,GSE241666; https://doi.org/10.5061/dryad.zgmsbccks,NCBI,"The RNA-seq data generated during this study are available in GEO under accession number GSE241666. Another data package was deposited in Dryad with all source codes, along with flow cytometry, and spectrophotometry data (https://doi.org/10.5061/dryad.zgmsbccks).","The authors deposited newly generated RNA-seq data in GEO with an accession number and additional flow cytometry/spectrophotometry data in Dryad with a DOI, both presented as openly accessible, so this is open data the detector missed."
38227657,non_open_data,none,,,,Reply to Santini et al.: Total population reports are necessary for global biomass estimation of wild mammals,"This is a short reply/commentary article responding to a comment on the authors' prior paper, with no newly generated data or repository deposit described in this text (only a passing mention of updating values in the original paper's gitlab repository, not a new deposit with accession)."
39095466,false_negative,open,INGV Data Registry / CFTIlandslides website (Istituto Nazionale di Geofisica e Vulcanologia),https://doi.org/10.13127/cfi/landslides,Institutional/domain,It is published online and registered in the INGV Data Registry with a DOI (Digital Object Identifer) (https://doi.org/10.13127/cfi/landslides) to provide a persistent identifcation. It consists of two main fles that can be directly downloaded via the links in brackets,"The article is a data descriptor for a newly compiled dataset of 1,058 historical earthquake-induced landslides that the authors themselves generated/curated and deposited with a persistent DOI in the INGV Data Registry, openly downloadable in CSV/SHP/KML/GeoJSON via OGC web services, satisfying all three open-data criteria that the detector apparently missed."
38649723,non_open_data,reuse_only,,,,"All data is from public sources, as detailed in the manuscript.","The study exclusively reuses pre-existing third-party public datasets (FAOSTAT, WorldPop, ESA-CCI land cover, GTAP, GADM, GAEZ) to construct its own analytical indices, but generates no new primary dataset that is deposited in a repository with an accession number, so this is a legitimate reuse-only detector negative."
39257881,false_negative,open,Figshare,https://doi.org/10.6084/m9.figshare.26661463.v1; https://doi.org/10.6084/m9.figshare.26869156.v1; https://doi.org/10.6084/m9.figshare.26869183.v1,Figshare,"Data, code and readme files associated with this study are available via Figshare (see https://doi.org/10.6084/m9.figshare.26661463.v1; https://doi.org/10.6084/m9.figshare.26869156.v1; https://doi.org/10.6084/m9.figshare.26869183.v1).","The authors deposited their newly generated field-observation dataset and code on Figshare with resolvable DOIs, presented as openly available, so this is a missed open-data case."
40476043,non_open_data,none,,,,Funding: This work was supported by Instituto de Salud Carlos III (ISCIII) ... Declaration of competing interest ... Appendix Supplementary materials,"The article contains no data availability statement and no mention of depositing the resting-state fMRI or clinical data in any repository with an accession number; only a general supplementary materials note is present, so this is a legitimate non-sharing case rather than a detector miss."
38416832,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.8412698,Zenodo,Data for Figs. 1 to 6 are available on Zenodo at https://doi.org/10.5281/zenodo.8412698.,"The authors deposited their generated model simulation/analysis data (underlying Figs. 1-6) in Zenodo with a resolvable DOI and state it is available, meeting all three open-data criteria, so this is a detector miss."
38605076,false_negative,open,Arctic Data Center,https://doi.org/10.18739/A2251FM9P,Institutional/domain,"The data that support the findings of this study are published at the Arctic Data Center54. ... 54. Jones, B. et al. Multi-temporal elevation data, ground temperature time-series, and permafrost borehole logs document the recovery of permafrost at the Anaktuvuk River tundra fire, 2009 to 2023. https://doi.org/10.18739/A2251FM9P (2024).","The authors deposited their newly generated LiDAR elevation, ground temperature time-series, and borehole core data in the Arctic Data Center (an open domain repository) with a resolving DOI in the Data availability statement, satisfying all three open-data criteria despite the detector's negative call."
39799107,non_open_data,reuse_only,"Pandora platform (NARIA data community, IsoMemo network)",https://doi.org/10.48493/hnhn-715879,Institutional/domain,"Previously published isotope measurements and corresponding contextual information from prehistoric North American human, animal, and plant samples were systematically collected from available publications found on Google Scholar and similar web search engines through December 2023.","NARIA is a synthesis/compilation database of isotopic measurements collected from prior third-party publications rather than data newly generated by the authors, so although the compiled dataset itself is openly deposited with a DOI, it does not satisfy the newly-generated-data criterion for open data."
40519887,non_open_data,unclear,PANGAEA Data Publisher,https://www.pangaea.de/,Institutional/domain,All data for this paper will be available from PANGAEA Data Publisher https://www.pangaea.de/.,"The data availability statement names a legitimate open-data repository (PANGAEA) and uses future tense with only the generic homepage URL, giving no dataset-specific accession number, DOI, or persistent link, so it fails the accession/persistent-URL requirement for counting as open data."
40164648,false_negative,open,Federated Research Data Repository,https://doi.org/10.20383/103.0972,Institutional/domain,The UrBAN dataset is made fully publicly available at the Federated Research Data Repository (https://doi.org/10.20383/103.0972).,"This is a Scientific Data descriptor for a newly generated multimodal beehive dataset (raw audio, temperature/humidity sensor readings, inspection records) that the authors deposited with a DOI in the Federated Research Data Repository and describe as fully publicly available, meeting all three open-data criteria, so the detector's negative call is a miss."
38195912,false_negative,open,USFQ Atmospheric Measurement Station (EMA USFQ) data portal - institutional repository hosting the authors' own ozone sounding / water vapor mixing ratio measurements,https://observaciones-iia.usfq.edu.ec/ (path: 'USFQ Data\Sondeos\EMA_Soundings'),Institutional/domain,Quito soundings: https://observaciones-iia.usfq.edu.ec/. under 'USFQ Data\Sondeos\EMA_Soundings'.,"The authors generated 78 vertical ozone-sounding water vapor profiles themselves at their own station (EMA USFQ) and, in the Data availability section, deposited/pointed to this newly generated dataset at a specific persistent institutional URL/path that is openly accessible, satisfying deposit + accession/link + open access even though most other cited datasets (AERONET, MERRA-2, SIATA PM2.5, etc.) are third-party reused sources."
39788931,non_open_data,reuse_only,,,,"The SocioPatterns datasets were downloaded from https://www.sociopatterns.org/datasets, the Copenhagen dataset was downloaded from https://doi.org/10.6084/m9.figshare.7267433, the brain connectome datasets were downloaded from https://neurodata.io/project/connectomes/ and the relational datasets were downloaded from https://www.cs.cornell.edu/~arb/data/.","The article is a theoretical/computational study analyzing 39 pre-existing third-party hypernetwork datasets (face-to-face contact, brain connectome, and relational datasets) obtained from public repositories; it generates no new empirical data of its own, only simulation results and a GitHub code repository, so this is reuse-only/code-only rather than a new open-data deposit."
40203091,false_negative,open,NCBI GEO; Dryad,"GSE248820 (GSE248702, GSE248819, GSE249190, GSE249191); https://doi.org/10.5061/dryad.kkwh70sb6",NCBI,"the numerical data and statistical results are deposited in Dryad (https://doi.org/10.5061/dryad.kkwh70sb6). The next-generation sequencing data are available on the National Center for Biotechnology Information Gene Expression Omnibus (NCBI GEO) under accession number GSE248820 (GSE248702, GSE248819, GSE249190, and GSE249191).","The authors deposited newly generated sequencing data in NCBI GEO with explicit accession numbers and other numerical/imaging data in Dryad with a DOI, both presented as openly accessible; only physical stable materials (not data) are gated by an MTA, so this is a true open-data article the detector missed."
38182574,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.6583119,Zenodo,"The school database used in this study is described in Opabola et al.42 and is publicly available37. ... 37. Opabola, E. et al. An inventory of school buildings in Central Sulawesi (Indonesia) developed through a mixed-mode data collection approach. Zenodo https://doi.org/10.5281/zenodo.6583119 (2022).","The authors' own school-building inventory database, generated through their field data collection in Central Sulawesi, is deposited in Zenodo with a resolvable DOI and stated to be publicly available, meeting all three open-data criteria despite redaction of identifying fields for confidentiality."
40330098,false_negative,open,Dryad,https://doi.org/10.5061/dryad.70rxwdc6q,Dryad,The data that support the findings of this study are openly available in Dryad at https://doi.org/10.5061/dryad.70rxwdc6q .,"The authors deposited their newly generated 3D surface scan/measurement data in Dryad with a resolvable DOI and explicitly state it is openly available, meeting all three criteria for open data that the detector missed."
40372776,false_negative,open,Dryad Digital Repository,https://doi.org/10.5061/dryad.6djh9w1bf,Dryad,The data are openly available at Dryad ( https://doi.org/10.5061/dryad.6djh9w1bf ). The following dataset was generated: ... 2024 Data from: Mapping serotonergic dynamics using drug-modulated molecular connectivity Dryad Digital Repository 10.5061/dryad.6djh9w1bf,"The authors deposited their newly generated PET/fMRI dataset in the Dryad repository with a resolvable DOI and explicitly state it is openly available, meeting all three open-data criteria, so this is a detector miss."
38560451,non_open_data,code_only,"Figshare, GitHub",https://doi.org/10.6084/m9.figshare.24715233.v3,Figshare,The data is available at figshare and GitHub: - scAnnoX (2023). scAnnoX . figshare. Software. https://doi.org/10.6084/m9.figshare.24715233.v3 - https://github.com/XQ-hub/scAnnoX/tree/main/data .,"This is a bioinformatics tool paper whose only deposit is the scAnnoX R package/software itself (explicitly labeled ""Software"" on figshare, mirrored on GitHub), while all validation datasets (human islet, liver, brain, and mouse cortical cell datasets) are reused from previously published third-party studies (Xin et al. 2016, Camp et al. 2017, Darmanis et al. 2015, Tasic et al. 2016) rather than newly generated by the authors, so no newly generated open data deposit exists."
39030856,non_open_data,upon_request_or_restricted,,,,The data that support the findings of this study are available on request from the corresponding author. The data are not publicly available due to privacy or ethical restrictions.,"The article explicitly states data are only available upon request due to privacy/ethical restrictions, with no repository deposit or accession number, so the detector's negative classification is correct."
39595723,non_open_data,upon_request_or_restricted,,,,Data Availability Statement Dataset available on request from the authors.,"The article is a scoping review whose extracted dataset (coded articles) is explicitly stated to be available only upon request from the authors, with no repository deposit or accession, so this is a legitimate detector negative."
39553714,false_negative,open,figshare,https://doi.org/10.6084/m9.figshare.26065414.v1,Figshare,"The raw dataset of EMG signals is available at figshare: Chatpun, Surapong (2024). EMG signals. figshare. Dataset. https://doi.org/10.6084/m9.figshare.26065414.v1.","The authors deposited their newly generated raw EMG dataset in figshare with a DOI and describe it as available (openly accessible, no gating language), meeting all three open-data criteria."
40433961,non_open_data,upon_request_or_restricted,,,,Health data can be requested through the Institute of Health Information and Statistics of the Czech Republic (https://www.uzis.cz/index-en.php). Meteorological data can be freely obtained from the EOBS gridded dataset (https://doi.org/10.24381/cds.151d3ec6).,"The newly generated ambulance dispatch data are available only upon request from the Institute of Health Information and Statistics, and the meteorological data are a pre-existing third-party dataset (E-OBS) rather than newly generated data deposited by the authors, so no open deposit of new data occurs."
39467121,false_negative,open,FigShare,https://doi.org/10.6084/m9.figshare.25043819.v1,Figshare,Sediment and Fish DDX data have been deposited in FigShare (https://doi.org/10.6084/m9.figshare.25043819.v1),"The authors deposited their compiled sediment and fish DDX measurement dataset in FigShare with a resolvable DOI, presented as openly accessible, meeting all three open-data criteria."
40199932,non_open_data,upon_request_or_restricted,,,,"The processed detection data that support the findings of this study are available from the authors on reasonable request. The raw audio data are not available due to privacy concerns, although audio data may be requested in spectrogram image format. Contact David Mann to request data from this study.","The Data availability statement explicitly restricts access to data-on-request from the corresponding author with no repository deposit or accession number, meeting the upon-request/restricted exclusion rather than open data criteria."
39432793,false_negative,open,"Archived via numbered references (67, 68, 82, 90); repository name not shown in extracted body text but explicitly stated to be publicly archived",,Other,"Data and model code are publicly archived (67–69, 77, 82, 90). ... A total of 267 new 15N data points are presented for Renland ... and 396 new 15N data points for Dye 3 ... Data are available via refs. 67, 68. ... Assessed event magnitudes are archived in ref. 82.","The article's PNAS Data Availability statement explicitly declares the newly generated 15N ice-core data (663 new points) and derived DO event magnitudes are publicly archived with specific citation pointers (refs 67, 68, 82), satisfying deposit + accession-pointer + open-access criteria even though the resolved repository/DOI text is not present in this extracted body (it lives in the numbered reference list)."
40033107,false_negative,open,University of Leeds Data Repository,https://doi.org/10.5518/1589,Institutional/domain,The data associated with this Article and its Supplementary Information are openly available from the University of Leeds Data Repository at https://doi.org/10.5518/1589 (ref. 46).,"The authors deposited their newly generated 4D-STEM molecular crystal dataset in the University of Leeds Data Repository with a resolvable DOI and describe it as openly available, meeting all criteria for open data that the detector missed."
39511301,non_open_data,reuse_only,,,,All data used were publicly available for research use. The FF and FFPE slides of the TCGA-SKCM cohort were downloaded from https://portal.gdc.cancer.gov/. The CPTAC melanoma FFPE slides were downloaded from the NIH cancer imaging archive... The FFPE melanoma Xenium datasets were downloaded from 10x Genomics.,"The Data availability statement lists only pre-existing third-party datasets (TCGA, CPTAC, 10x Genomics Xenium) that were reused/downloaded for analysis, with no newly generated data deposited by the authors; only their analysis code/pipeline (SPoTLIghT) is shared on GitHub."
39792680,false_negative,open,Dryad,https://doi.org/10.5061/dryad.7m0cfxq4c,Dryad,The data are available in the Dryad repository: https://doi.org/10.5061/dryad.7m0cfxq4c (DOI: 10.5061/dryad.7m0cfxq4c).,"The authors deposited their newly collected survey data (from 614 US and India participants) in the Dryad repository with a resolvable DOI and present it as openly accessible, meeting all three open-data criteria, so the detector's negative call is a false negative."
38950358,false_negative,open,figshare,https://doi.org/10.6084/m9.figshare.25560351,Figshare,"All data are available in figshare at https://doi.org/10.6084/m9.figshare.25560351 (52). The only exception is the raw asset wealth data, obtainable directly from Atlas AI. However, we provide in figshare the asset wealth values for each protected area and year in our study, along with the code used to derive these values from the raw data.","The authors deposited their compiled/derived study dataset (including author-generated asset wealth values per protected area-year and other analysis data) in Figshare with a resolvable DOI and describe it as openly available, meeting all three open-data criteria despite one component (raw Atlas AI data) being excluded and available only from the third party."
38673379,non_open_data,reuse_only,,https://www.cdc.gov/nchs/nhanes/.htm,,"The NHANES dataset is publicly available online, accessible at https://www.cdc.gov/nchs/nhanes/.htm (accessed on 12 December 2023).","The study analyzes only pre-existing third-party NHANES survey data (a public secondary dataset the authors reused, not newly generated/deposited by them), so it does not meet the criterion of authors depositing newly produced data."
39880946,false_negative,open,Pangaea,https://doi.org/10.1594/PANGAEA.973166; https://doi.org/10.1594/PANGAEA.973167; https://doi.org/10.1594/PANGAEA.973178; https://doi.org/10.1594/PANGAEA.973190,Other,"The water isotope, Na and TAC data presented in this paper are archived in the Pangaea database56–59.","The authors deposited their newly generated ice-core water isotope, sodium, and total air content data in the Pangaea repository with four distinct DOIs listed in the references, with no indication of restricted access, so this is an open-data article the detector missed."
38778011,false_negative,open,Figshare,https://doi.org/10.6084/m9.fgshare.c.7029929.v1,Figshare,"The full dataset “Botanical Records of Archaeobotany Italian Network” is stored at Figshare27 and includes eight tables (spreadsheets) with the lists of sites and geographical data, type of site category, type of plant records and corresponding references.","This Scientific Data Descriptor paper deposits its newly compiled BRAIN database (800 archaeobotanical site records with metadata) at Figshare with a resolvable DOI, meeting all three open-data criteria, so the detector's negative call is a false negative."
39596260,false_negative,open,Mendeley Data,https://doi.org/10.17632/mrc9yzngwm.1,Mendeley,The data supporting reported results are publicly available on the Mendeley repository: https://doi.org/10.17632/mrc9yzngwm.1.,"The authors deposited the newly generated physiological and behavioral data from their zebra finch experiment in Mendeley Data with a resolvable DOI and describe it as publicly available, satisfying all three open-data criteria, so the detector's negative call is a miss."
38426139,false_negative,open,NCBI SRA and Dryad,SRA# PRJNA924783; Dryad https://doi.org/10.25349/D9P60T,NCBI,"The raw sequences are available at NCBI SRA: PRJNA924783 . Data Availability ... The data and code are available at Dryad: Lafferty, Kevin (2024). Tidewater goby and estuarine fish records from seining, qPCR and metabarcoding data for Southern California estuaries in 2023 [Dataset]. Dryad. https://doi.org/10.25349/D9P60T .","The authors deposited newly generated raw eDNA/metabarcoding sequence data in NCBI SRA (accession PRJNA924783) and the full dataset plus code in Dryad (DOI 10.25349/D9P60T), both presented as openly accessible with no access restrictions stated."
40009673,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.14403644,Zenodo,The simulation data presented in the figures and supplementary figures are available at https://doi.org/10.5281/zenodo.14403644,"The authors deposited their newly generated hydrodynamic simulation data in Zenodo with a resolvable DOI and describe it as openly available, meeting all three open-data criteria despite the detector's negative score."
39338144,non_open_data,upon_request_or_restricted,,,,The data presented in this study are available upon request from the corresponding author.,"This is a brief report describing a biosafety toolkit (guidelines, flyers, QR codes) with no newly generated research dataset; the formal Data Availability Statement explicitly restricts access to upon-request from the corresponding author, which does not meet the open-data definition."
39959831,false_negative,open,Zenodo (and GitHub),https://doi.org/10.5281/zenodo.14637161,Zenodo,All data and code generated during the development of the tool are available on the GitHub page of PGSXplorer (https://github.com/tutkuyaras/PGSXplorer) and Zenodo: tutkuyaras. (2025). tutkuyaras/PGSXplorer: v2.1 (v2.1). Zenodo. https://doi.org/10.5281/zenodo.14637161,"The authors generated synthetic validation datasets (with HAPNEST) and configuration files and deposited them, along with code, in a Zenodo archive with a resolvable DOI, presented as openly accessible with no access restriction stated, meeting all three open-data criteria."
39398629,non_open_data,upon_request_or_restricted,"Mississippi Department of Wildlife, Fisheries, and Parks",https://doi.org/10.6084/m9.figshare.c.7175712,Other,"Data and associated data products are held by the Mississippi Department of Wildlife, Fisheries, and Parks and may only be available through a public records request. All code for analyses are located on Figshare: https://doi.org/10.6084/m9.figshare.c.7175712.","The underlying deer data are held by a state agency and accessible only via public records request (restricted, not openly deposited), while the Figshare link provided is only for the analysis code, not the data."
40087538,false_negative,open,Materials Cloud Archive,https://doi.org/10.24435/materialscloud:zx-87,Institutional/domain,The data that support the findings of this study are available via the Materials Cloud platform at https://doi.org/10.24435/materialscloud: zx-87 (ref. 55).,"The authors deposited their newly generated STM/spectroscopy and simulation data in the Materials Cloud Archive with a resolvable DOI accession presented as openly available, meeting all criteria for open data that the detector missed."
39301060,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.11122582,Zenodo,"The original confocal and micro-CT data are available at Zenodo: Li, Y.-D., Tomaszewska, W., Arriaga-Varela, E., Huang, D., Cai, C. (2024). Confocal and micro-CT data of Yassibum yoshitomii, holotype, NIGP200730 [Data set]. Zenodo. https://doi.org/10.5281/zenodo.11122582.","The authors deposited their newly generated confocal microscopy and micro-CT imaging data of the fossil holotype in Zenodo with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a miss."
38342220,false_negative,open,Figshare (Royal Society electronic supplementary material collection),https://doi.org/10.6084/m9.figshare.c.7030619,Figshare,"Electronic supplementary material is available online at https://doi.org/10.6084/m9.figshare.c.7030619 ... The data, metadata and the R code for the calculations are available in electronic supplementary material, files (electronic supplementary material, S2, S3 and S4). ... Data accessibility The data are provided in electronic supplementary material [70].","The authors' newly generated field-collected geodiversity data, metadata, and R code are deposited via the journal's Figshare-hosted electronic supplementary material system under a persistent, resolvable DOI (m9.figshare.c.7030619) and are stated as openly provided with no access restriction, satisfying deposit + accession + open-access criteria even though the detector likely missed it because it is framed as 'electronic supplementary material' rather than a standalone repository citation."
40370343,false_negative,open,Zenodo,10.5281/zenodo.14366667,Zenodo,Final datasets used in the analyses and reproducible code for all results and figures are available on Zenodo: 10.5281/zenodo.14366667.,"The authors deposited the newly generated datasets underlying all analyses and figures in Zenodo with a resolvable DOI and describe them as openly available, satisfying all three open-data criteria, so the detector's negative call is a miss."
39318424,false_negative,open,"Companion data publication (Ovienmhada et al., 2024) describing the HIFLD-derived prison facility boundary/heat exposure data set",,Institutional/domain,Data Availability Statement Data on the heat exposure and risk analysis are publicly available at Ovienmhada et al. ( 2024 ).,"The Data Availability Statement explicitly states that the newly generated heat exposure/risk analysis data underlying this study are publicly available, pointing to a specific companion data citation (Ovienmhada et al., 2024), satisfying deposit-with-pointer and open-access criteria even though the full DOI/accession is not reproduced in this extracted text."
38348327,false_negative,open,Harvard Dataverse,10.7910/DVN/W97UKZ (https://doi.org/10.7910/DVN/W97UKZ),Dataverse,Repository name: HARVARD Dataverse Data identification number: 10.7910/DVN/W97UKZ Direct URL to data: https://doi.org/10.7910/DVN/W97UKZ,"This Data in Brief article deposited its newly generated FEPPS model output dataset (hourly power system results for Great Britain, 2030/2040) in Harvard Dataverse with a resolvable DOI, presented as openly accessible, so the detector's negative call is a miss."
39636860,false_negative,open,Zenodo,"ref. 62 (Zenodo deposit, citation number in reference list)",Zenodo,All data associated with this study has been deposited in a public repository at Zenodo (62). The DQMC code used for this project can be obtained at https://github.com/SmoQySuite/SmoQyDQMC.jl (60).,"The authors explicitly state that all data from their DQMC simulations (newly generated data) was deposited in the public repository Zenodo with a citable reference, distinct from the separately-cited code repository, satisfying deposit + accessible/public presentation."
39897484,false_negative,open,Zenodo (and GitHub),https://doi.org/10.5281/zenodo.14273568,Zenodo,"The source codes and datasets are available at GitHub and Zenodo: - https://github.com/HVPPIlab/IVA-Human-PPI/ . - li,. binghua. (2024). IVA-Human-PPI. Zenodo. https://doi.org/10.5281/zenodo.14273568 .","The authors deposited their curated IAV-human PPI training dataset (built via a novel degree-and-dissimilarity negative sampling method) and predicted PPI results in Zenodo with a resolvable DOI, presented without access restriction, meeting all three open-data criteria."
38976810,false_negative,open,Zenodo,10.5281/zenodo.11073108,Zenodo,Corresponding raw data and simulation Matlab scripts can be accessed via Zenodo DOI: 10.5281/zenodo.11073108.,"The authors deposited their newly generated raw NMR/kinetics data and MATLAB simulation scripts in Zenodo with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so this is a detector miss."
39908376,false_negative,open,Dryad,https://doi.org/10.5061/dryad.d51c5b0c1,Dryad,Data and materials availability: All data needed to evaluate the conclusions in the paper are present in the paper and/or the Supplementary Materials. All data can be accessed at Dryad (https://doi.org/10.5061/dryad.d51c5b0c1).,"The authors deposited their newly generated field and experimental data (shell thickness, tissue mass, calcification, crab survey data) in the Dryad repository with a resolvable DOI and describe it as openly accessible, so the detector's negative call is a false negative."
38705190,non_open_data,none,,,,Data accessibility This article has no additional data.,This is a perspective/review article proposing a framework and priorities for automated insect monitoring; it explicitly states it has no additional data and reports no new data deposit with an accession number.
39139916,non_open_data,code_only,OSF,10.17605/OSF.IO/NWAQS,OSF,This simulation study uses data from the literature (sources in Table 1). The original code is available at Open Science Foundation (DOI 10.17605/OSF.IO/NWAQS).,"The study is a simulation using previously published empirical data (no newly generated dataset), and the only deposit with an accession is the simulation code on OSF, so this is code-only sharing, not open data."
38412128,false_negative,open,GenBank (reads/genomes); Zenodo (results/intermediary files); GitHub (pipelines/code),,NCBI,"Genomic and transcriptomic reads from leaf, cambium, and fruits and corresponding genomes are available in GenBank (18). genomeAnnotation and detectMutations pipelines as well as downstream analyses are available on GitHub (19). Results and intermediary files are available on Zenodo (20).","The article's Data, Materials, and Software Availability statement deposits newly generated whole-genome sequencing reads and genome assemblies in GenBank and additional results/intermediary files in Zenodo, presented as openly accessible, which the detector missed."
38791755,false_negative,open,Figshare,https://doi.org/10.6084/m9.figshare.24943446.v1,Figshare,The data presented in this study are openly available in the FIGSHARE repository at https://doi.org/10.6084/m9.figshare.24943446.v1 (accessed on 28 January 2024).,"The authors deposited their newly generated qualitative interview/analysis data in the Figshare repository with a resolvable DOI and explicitly state it is openly available, meeting all three criteria for open data despite the detector scoring it negative."
38305939,false_negative,open,Monash University figshare (Bridges repository),https://doi.org/10.26180/23930067,Figshare,Data Availability All data and scripts are publicly available at https://doi.org/10.26180/23930067.,"The article provides a DOI to a repository deposit (Monash figshare) containing all data and scripts generated in the study, with no stated access restriction, meeting the definition of open data."
38223231,false_negative,open,Max Planck Institute for Psycholinguistics archive,https://hdl.handle.net/1839/3b656615-6a9a-46d2-a68b-580151f27d95,Institutional/domain,The pre-processed data used for the present analyses are available at the archive of the Max Planck Institute for Psycholinguistics at https://hdl.handle.net/1839/3b656615-6a9a-46d2-a68b-580151f27d95 . The archive also contains the JASP analysis output.,"The authors deposited their newly generated pre-processed dataset (and JASP analysis output) in the Max Planck Institute for Psycholinguistics institutional archive with a persistent handle.net URL, presented as openly accessible with no access restriction stated, so this is an open data deposit the detector missed."
40382363,false_negative,open,NSF Arctic Data Center Repository,https://doi.org/10.18739/A2610VT7V,Institutional/domain,The data products are available at NSF Arctic Data Center Repository11.,"This Scientific Data descriptor deposits newly generated global coastline, water probability, and intertidal zone products derived from satellite imagery in the NSF Arctic Data Center repository with a resolvable DOI and no access restriction stated, meeting all three open-data criteria that the detector missed."
40301348,false_negative,open,BioImage Archive,"S-BIAD1478, https://doi.org/10.6019/S-BIAD1478",Institutional/domain,"The image dataset was uploaded to the Bioimage Archive and published under a CC-BY 4.0 license (S-BIAD1478, https://doi.org/10.6019/S-BIAD1478)","The authors deposited their newly generated dataset of 18,104 mosquito wing images in the BioImage Archive with a persistent accession/DOI and an open CC-BY 4.0 license, meeting all criteria for open data that the detector missed."
39457360,false_negative,open,Open Science Framework (OSF),10.17605/OSF.IO/M2VFJ,OSF,The datasets generated and analyzed during this study are available from the corresponding authors on reasonable request or by accessing the Open Science Foundation DOI 10.17605/OSF.IO/M2VFJ.,"The data availability statement offers a specific OSF DOI as a route to access the datasets generated and analyzed during the study, satisfying deposit + accession/DOI + open-access presentation even though an upon-request alternative is also mentioned."
39041020,false_negative,open,University of Alberta Education and Research Archive (ERA),https://doi.org/10.7939/r3-wmew-4j53,Institutional/domain,All data and R scripts are available through the University of Alberta Education and Research Archive via https://doi.org/10.7939/r3-wmew-4j53.,"The authors deposited their newly generated field and greenhouse experiment data (plus R scripts) in an institutional repository with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so this is a detector miss."
38317439,false_negative,open,Zenodo,doi.org/10.5281/zenodo.10045070,Zenodo,The raw UED data set (15 mJ) and trajectories used in this work are available at the following link: doi.org/10.5281/zenodo.10045070.,"The authors deposited their newly generated raw ultrafast electron diffraction data and MD trajectories in Zenodo with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a miss."
40034665,non_open_data,reuse_only,,,,"The RNA sequencing data for all breast cancer samples are available at The Cancer Genome Atlas database: https://cancergenome.nih.gov. The gene expression profiles are available at NCBI GEO: GSE101123, GSE64790, GSE115275, GSE38959, and GSE53752. The code is available at Zenodo...","The article is a bioinformatics reanalysis of pre-existing public GEO and TCGA datasets with no newly generated experimental data of its own; only analysis code was newly deposited (on Zenodo), which does not count as open data sharing under the definition used."
